"Gene","Cell","R","pValue"
"TIMP3,SYN3","T cells CD8","0.539525691699605","0.00879148460828883"
"TIMP3,SYN3","T cells CD4 memory activated","0.472799439987807","0.0227055629117948"
"OPCML","Dendritic cells activated","-0.581219515498942","0.0036305967983072"
"DAPK1","Dendritic cells activated","0.432908328785419","0.0390801176538005"
"DAPK1","Mast cells resting","0.463101964910232","0.0260552005013159"
"APC","B cells memory","-0.566294035955743","0.00484762564277033"
"APC","Macrophages M1","0.480237154150198","0.0215789171630745"
"TLX3","Monocytes","-0.486661561574206","0.018527588791268"
"FAS","T cells regulatory (Tregs)","-0.501111950064624","0.0148585044061342"
"AKT1","Macrophages M0","0.433901668793629","0.0385828658767077"
"PCDH8","T cells follicular helper","0.432974552724047","0.0390468109351321"
"PCDH17","Macrophages M1","-0.482213438735178","0.0209884533348807"
"CDH1","T cells CD8","0.431818181818182","0.0408380140982263"
"CDH1","Mast cells resting","-0.465578446006008","0.0251644189208606"
"CDH13","Dendritic cells activated","-0.453952483656932","0.0295673460039747"
"NID2","Mast cells resting","0.475484370389115","0.0218421834537402"
"CDH11","T cells CD8","0.463438735177866","0.0271658557440445"
"CDH11","T cells CD4 memory activated","0.551929053374888","0.00632447760579232"
"CDH11","Dendritic cells activated","-0.446937765366428","0.0325072275057734"
"WIF1","NK cells resting","0.543838602983591","0.0073095004699334"
"WIF1","Macrophages M1","-0.577075098814229","0.00459883777617327"
"SERPINB5","Mast cells resting","0.717188925336915","0.000117470045056697"
"SERPINB5","Mast cells activated","-0.470813827843996","0.0233615537662662"
"PTCRA","Plasma cells","-0.597826086956522","0.00311590389587623"
"ZNF77","T cells follicular helper","-0.530294520996883","0.00924217873846073"
"ZNF77","Dendritic cells resting","0.521717691009636","0.0106711593329719"
"ZNF77","Mast cells resting","0.522042214989716","0.0106139662682317"
"POU4F2","T cells follicular helper","0.425030065518101","0.0432045947992416"
"TWIST1","NK cells resting","0.521978423844054","0.0106251886493923"
"TBX3","NK cells resting","0.465995038242802","0.0250169994911894"
"ONECUT2","Neutrophils","-0.477543385741713","0.0211981561066239"
