"Gene","Cell","R","pValue"
"KLK10","B cells memory","-0.352119091006171","0.0279219170150968"
"KLK10","Mast cells resting","0.341497975708502","0.0339295589077858"
"PLAU","B cells naive","0.404372691443526","0.0106728490313919"
"PLAU","T cells gamma delta","0.421973193223538","0.00745662946817948"
"PLAU","Macrophages M2","-0.388461538461538","0.0150834659488736"
"SYK","Plasma cells","-0.333974726354719","0.0377190382914869"
"CDH1","T cells CD8","0.346879903273332","0.030505951517935"
"CDH1","T cells CD4 memory activated","0.458829569438428","0.00330445729820072"
"CDH1","Mast cells resting","-0.38582995951417","0.0158291345427332"
"ESR2","Mast cells resting","0.351821862348178","0.0286455941084144"
"GSTP1","Plasma cells","-0.388455745996574","0.0145332151056652"
"GSTP1","T cells CD8","-0.340199403239472","0.0340832694935633"
"GSTP1","Macrophages M0","0.327648160751613","0.0417323222899302"
"GSTP1","Macrophages M2","0.350607287449393","0.0292292318788736"
"DFNA5","B cells memory","-0.32935048812908","0.040619841669295"
"DFNA5","T cells CD4 memory activated","-0.328852514991337","0.0409427470287904"
"DFNA5","Dendritic cells activated","-0.322429881174575","0.0452973953284522"
"DFNA5","Mast cells resting","0.319028340080972","0.0482421253538465"
"HOXB13","T cells regulatory (Tregs)","0.498076543920391","0.00125236686881361"
"HOXB13","Macrophages M0","0.356293335139227","0.025995020242218"
"DKK3","T cells follicular helper","-0.405182449023387","0.0105024431745138"
"SFRP2","Mast cells resting","0.538866396761134","0.000489902693827674"
"TWIST1","B cells memory","-0.372240181920809","0.0196185315466112"
"ATM","NK cells activated","-0.490348145496794","0.00152991574296269"
"ATM","Macrophages M1","0.324291497975708","0.0445130743799096"
"ADAM33","T cells CD8","0.614909662207614","3.11153973012272e-05"
"ADAM33","T cells CD4 memory resting","0.320967660717752","0.0463393241094799"
"ADAM33","T cells CD4 memory activated","0.446148881199687","0.00441633387433044"
"ADAM33","Macrophages M0","-0.466217926605477","0.00277650552091012"
"RASSF1","T cells gamma delta","0.324216628735692","0.0440500048391972"
"RASSF1","Macrophages M2","0.378542510121457","0.0180595194435455"
"CST6","T cells regulatory (Tregs)","0.347641230045249","0.0301186673154391"
"MLH1","Macrophages M1","0.351821862348178","0.0286455941084144"
"APC","B cells memory","-0.321937454634213","0.0456461464372689"
"APC","Mast cells resting","0.388056680161943","0.0151961997235004"
"ESR1","Plasma cells","0.316557002603047","0.0495998564060756"
"ESR1","Macrophages M2","-0.351821862348178","0.0286455941084143"
"ESR1","Mast cells resting","-0.473886639676113","0.00256769717991608"
"EMILIN2","B cells naive","0.375727517055912","0.0184147018978559"
"EMILIN2","Mast cells resting","0.343117408906883","0.0330510391930948"
"FOXC1","B cells memory","-0.352119091006171","0.0279219170150968"
"FOXC1","Mast cells resting","0.491295546558704","0.00169623354257877"
"PTEN","B cells memory","-0.360591129286019","0.0241275622711323"
"PTEN","Macrophages M0","-0.36864213823212","0.0209289387466886"
"PTEN","Mast cells resting","0.410323886639676","0.00996433387231733"
"SYNM","B cells naive","-0.388784858031184","0.0144428282711285"
"SYNM","Plasma cells","-0.356455741894666","0.0259223367462878"
"SYNM","Macrophages M2","0.431174089068826","0.0065528099847664"
"PLCD1","T cells regulatory (Tregs)","-0.414253906041106","0.00874657055531601"
"ENG","B cells memory","-0.382300727378128","0.0163137700837605"
"ENG","Mast cells resting","0.432388663967611","0.00639001687051689"
"SLC19A3","Macrophages M1","0.32995951417004","0.0407638567212031"
"SLIT2","Plasma cells","0.316759534274578","0.0494462028420015"
"SLIT2","Neutrophils","-0.352790943026734","0.0276040428731007"
"KL","Mast cells resting","0.432793522267206","0.00633653875361651"
"CXCR4","T cells CD8","0.369654335206948","0.0205531130890927"
"NT5E","B cells naive","0.386153145896633","0.0151790675483759"
"DOK7","T cells CD8","0.493344805530849","0.00141644088717857"
"DOK7","T cells CD4 memory activated","0.378941233534363","0.0173608042747926"
"CAV1","Macrophages M0","-0.443544714369344","0.00468113526288033"
"KEAP1","Mast cells resting","-0.403036437246964","0.0114726743728336"
"CDO1","Mast cells resting","0.595546558704453","8.75177711390531e-05"
"CDO1","Mast cells activated","-0.382300727378128","0.0163137700837605"
"BRMS1","T cells regulatory (Tregs)","-0.326179395225915","0.0427119214744574"
"BRMS1","Macrophages M2","0.368218623481781","0.0216706153433633"
"NDRG1","Mast cells resting","0.576923076923077","0.000159188084551919"
"DNMT3B","Dendritic cells resting","0.354589103520635","0.0267679672611075"
"PPP2R2B","T cells follicular helper","0.316210334936064","0.0498637515715177"
"SCGB3A1","T cells CD4 memory resting","0.401133661124078","0.0113782385948668"
"SCGB3A1","Macrophages M2","0.38502024291498","0.0160647818515314"
"CHST11","B cells naive","0.398805608081975","0.0119094025670298"
