"Gene","Cell","R","pValue"
"CADM1","Monocytes","0.326378786864305","0.042577853364079"
"CADM1","Neutrophils","-0.34745085774149","0.0302151271813913"
"PTEN","B cells memory","-0.360092507644064","0.0243383322898538"
"PTEN","Monocytes","-0.326142964041426","0.042736454215284"
"PTGS2","T cells CD4 memory resting","0.351649352800282","0.0281459567065651"
"CHFR","T cells gamma delta","-0.336806859834681","0.0360274425455279"
"CHFR","Macrophages M2","-0.343522267206478","0.0328343772642628"
"CDH1","Plasma cells","0.355825917179672","0.0262051514601038"
"CDH1","T cells CD8","0.413967611336032","0.00927642317304778"
"CDH1","T cells CD4 memory resting","-0.364923245449303","0.0223594017938936"
"CDH1","NK cells activated","-0.417021490635402","0.0082636866382997"
"CDH1","Dendritic cells activated","-0.361349409025135","0.0238099423381691"
"PCDH10","Neutrophils","-0.368585338139391","0.02095019742778"
"ZNF582-AS1,ZNF582","Neutrophils","-0.341744548034057","0.0332267357241525"
"RASSF2","T cells gamma delta","0.347620549148089","0.0301291338350526"
"XRCC2","T cells CD8","-0.351821862348178","0.0286455941084143"
"XRCC2","T cells gamma delta","0.380325365608152","0.0169227747244112"
"GPX3","Mast cells resting","-0.318751012329042","0.0479556355903012"
"EPB41L3","Macrophages M1","-0.35","0.0295247416374825"
"RASSF1","T cells CD4 memory resting","0.317158992392581","0.0491442702546128"
"MEG3","NK cells activated","0.356636454576437","0.0258416586770265"
"MEG3","Macrophages M1","-0.4082995951417","0.0103651390545623"
"MEG3","Dendritic cells activated","0.347342044293262","0.0302703761267664"
"SIM1","T cells CD4 memory resting","0.322707914729467","0.0451014367046757"
"NKX6-1","T cells CD4 memory resting","0.316397375601244","0.0497212300543167"
"SEPT9","T cells follicular helper","-0.362568956383156","0.0233064074730952"
"EPHA7","NK cells resting","-0.340292532453562","0.03403113710065"
"EPHA7","Dendritic cells activated","0.329680584413943","0.0404069370408671"
"CDH13","Plasma cells","0.360486507211069","0.0241716603709912"
"CDH13","T cells regulatory (Tregs)","0.318842047070615","0.0478883734987676"
"CDH13","Macrophages M2","-0.379554655870445","0.0177346754437972"
"SOX1","NK cells resting","-0.341427597605175","0.0334009788155335"
"SOX1","Dendritic cells resting","0.320000041019075","0.0470393897101024"
"SOX1","Dendritic cells activated","0.323590425834868","0.0444839755247671"
"RAB3C","T cells CD4 memory resting","0.365358455044353","0.0221879011777349"
"RAB3C","NK cells resting","-0.358907600940015","0.0248453413379838"
"RAB3C","Dendritic cells resting","0.416101319160564","0.00842163468789476"
"ZNF257","NK cells resting","-0.432232809734211","0.00599759955318215"
"NTRK3","NK cells resting","-0.359588640030982","0.0245528713989014"
"NTRK3","Mast cells resting","0.385080702755895","0.0154880455884348"
