"Gene","Cell","R","pValue"
"CDH1","T cells follicular helper","0.498767253651942","0.00689980381885942"
"CDH1","T cells gamma delta","0.393432530123943","0.0383300824799925"
"CDH1","Macrophages M1","0.397372742200328","0.0371619702584998"
"CDH1","Neutrophils","0.414402847775261","0.0283443213988073"
"MYOD1","T cells CD8","0.423645320197044","0.0255897312616993"
"MYOD1","T cells CD4 memory activated","0.381708710033113","0.0450328969930516"
"CHFR","NK cells resting","-0.398698050883685","0.0355917511578181"
"MAL","T cells CD8","0.391899288451013","0.0400394839049549"
"MAL","T cells follicular helper","0.465059356839201","0.0126450096050904"
"MAL","Neutrophils","0.417702233505955","0.0269855598489126"
"SFRP1","T cells CD8","0.378762999452655","0.0476839718199545"
"UCHL1","T cells CD4 memory resting","-0.414397157295221","0.0283467118535979"
"SEPT9","T cells CD4 memory resting","-0.577528402835479","0.00129050483117983"
"SEPT9","T cells gamma delta","0.379326906466399","0.0465018764410854"
"SEPT9","Neutrophils","0.377449727591479","0.0476861480387963"
"NDRG4","Macrophages M2","-0.414340448823207","0.0292899741087199"
"OSM","Plasma cells","0.379830447011864","0.0461881978243287"
"OSM","T cells CD4 memory resting","0.427261534040845","0.0233446594027116"
"BRAF","Macrophages M0","0.535851122058019","0.00375955815670288"
"APC","B cells memory","-0.38844565112124","0.0410763611528246"
"BNIP3","NK cells activated","0.394978076270908","0.0375094211968078"
"BNIP3","Neutrophils","0.459274493712709","0.0139492883852931"
"AKAP12","Plasma cells","-0.381200686719699","0.045343091269539"
"AKAP12","T cells CD4 memory resting","-0.515396200255548","0.00500255017925995"
"AKAP12","Macrophages M2","0.385331143951834","0.0437274273871429"
"AKAP12","Neutrophils","0.429580022136456","0.0225249515254648"
"RUNX3","T cells CD4 memory activated","0.382256355241195","0.0447003973270772"
"MMRN1","T cells CD4 memory resting","-0.410291505142362","0.0301144876739588"
"MMRN1","Macrophages M0","0.401204159824849","0.0352493262196314"
"NEUROG1","Mast cells resting","-0.385395268648482","0.0428320208597169"
"NEUROG1","Neutrophils","0.436838670743985","0.0201094331193709"
"DLEC1","Plasma cells","-0.516854417795364","0.00485975977466551"
"DLEC1","T cells CD4 memory resting","-0.383741621220541","0.043808423575097"
"DLEC1","Monocytes","-0.407144199167732","0.0315290883617648"
"DLEC1","Dendritic cells activated","-0.39592628768337","0.0370129365043694"
"DFNA5","T cells CD8","0.615216201423098","0.000640237612616239"
"KISS1","Dendritic cells resting","0.587817800651008","0.00100423859019165"
"FBN1","T cells follicular helper","0.439024802390336","0.019425100877541"
"WRN","B cells memory","-0.458923132126359","0.0140319755555124"
"DCLK1","T cells CD4 memory resting","-0.4324620267678","0.0215389646407922"
"DCLK1","T cells regulatory (Tregs)","0.398138066275572","0.0358752884773372"
"DCLK1","Macrophages M2","0.376573617952928","0.0490647892772826"
"EPAS1","Neutrophils","0.450036213666764","0.0162626206047625"
"TFAP2E","T cells CD4 memory activated","-0.417853293766522","0.0269246390608681"
"TFAP2E","Macrophages M1","-0.380952380952381","0.0463344665584749"
"WIF1","Macrophages M2","-0.383689107827039","0.0446908686935822"
"SYNE1","T cells CD4 memory resting","-0.540577533459749","0.00297919747040226"
"SYNE1","T cells gamma delta","0.446805160179517","0.0171429678577736"
"SYNE1","Macrophages M1","0.397372742200328","0.0371619702584998"
"RASSF10","T cells CD8","0.573070607553366","0.00172680710170629"
"RASSF10","T cells CD4 memory activated","0.388828097738179","0.040860349039203"
"TET1","T cells CD8","0.517241379310345","0.00538527932370082"
"RET","T cells CD8","0.431308155446086","0.0228395713946791"
"UPB1","T cells gamma delta","-0.391907597836641","0.0391538054107143"
"CD274","B cells naive","0.412716199999904","0.0290600328915796"
"KCNA3","Macrophages M0","-0.391899288451013","0.040039483904955"
"KCNA3","Macrophages M2","-0.683634373289546","9.17922361075809e-05"
"KCNA3","Dendritic cells activated","0.418362110652094","0.0267202602993276"
"ZNF331","T cells CD4 memory resting","0.520322982838979","0.00453397580165247"
"ZNF331","Macrophages M2","-0.388615216201423","0.0418506998446894"
"SDC2","Plasma cells","-0.401754282337224","0.0340758112701961"
"SDC2","Monocytes","-0.374150341860785","0.0498253315044203"
"SDC2","Eosinophils","0.441086664102134","0.0187973166066463"
"BEND5,AGBL4","B cells naive","-0.46697769243017","0.0122355843330615"
"BEND5,AGBL4","T cells CD8","0.55008210180624","0.00281960570849776"
"SHOX2","Plasma cells","0.466155548605469","0.0124096789672837"
"SHOX2","T cells CD4 memory resting","0.419871360165699","0.02612143359544"
"SHOX2","Monocytes","0.386688007637425","0.042080834861026"
"SHOX2","Macrophages M2","-0.54679802955665","0.00301627729815731"
"TAC1","Mast cells activated","-0.427295153375731","0.0233326015950045"
"SMYD3","T cells CD4 memory activated","0.479737202279781","0.00978391338609565"
"SMYD3","Neutrophils","0.395266410537231","0.037357888353473"
"CDO1","Macrophages M2","-0.405582922824302","0.0331622498503727"
"BATF2","Macrophages M1","-0.423097974822113","0.0257961714956462"
"BATF2","Dendritic cells resting","0.388585436844924","0.0409973026265611"
"PBX3","T cells CD8","0.494252873563218","0.00819128612948477"
"PBX3","T cells CD4 memory activated","0.535597013504139","0.0033111975532031"
"HOXA2","T cells CD4 memory activated","0.478641911863617","0.00997676669363782"
"GLS2","Mast cells resting","0.435565066934083","0.0205171505376729"
"GLS2","Mast cells activated","-0.396241726531565","0.03684894392945"
"UNC5D","T cells regulatory (Tregs)","0.453450232291848","0.015373351823783"
"UNC5D","Macrophages M2","0.434044882320744","0.0219186304096832"
"DZIP3","T cells follicular helper","-0.391340460557678","0.0394637386811819"
"DZIP3","T cells gamma delta","-0.415162815217998","0.0280265388835919"
"DZIP3","Macrophages M1","-0.454844006568144","0.0158752884518724"
"CREB1","T cells CD4 memory activated","-0.573932178069875","0.00140602793241304"
"CREB1","T cells regulatory (Tregs)","0.455093167916094","0.014959977291866"
"RGS10","B cells naive","-0.403398569986626","0.0332819567913298"
"FAP","Plasma cells","-0.525349903983941","0.00409492967417396"
"A1CF","Neutrophils","0.429580022136456","0.0225249515254648"
"CDKN2B,RP11-145E5.5,CDKN2B-AS1","Neutrophils","0.468512773758655","0.0119159651299004"
"EVL","T cells CD4 memory resting","-0.42972492533256","0.0224745120720473"
"EVL","Monocytes","-0.50282638535788","0.00638819654127472"
"EVL","Macrophages M1","0.488232074438971","0.00910379364762149"
"GABRA1","Macrophages M2","-0.404488232074439","0.0336743275201128"
"LAMA2","T cells regulatory (Tregs)","0.414019777309948","0.0285056064983065"
"LAMA2","T cells gamma delta","-0.453667355472376","0.0153181859250564"
"MYCN","T cells CD4 memory resting","0.446694954231044","0.0171736747278696"
"ERCC1","Plasma cells","-0.48342056892419","0.00915812193243511"
"ERCC1","T cells CD4 memory activated","0.473165459782798","0.0109894467101431"
"ERCC1","T cells regulatory (Tregs)","-0.450712006251438","0.0160832988134522"
"ERCC1","Monocytes","-0.436838670743985","0.0201094331193708"
"TLX2","T cells CD8","0.632731253420909","0.000406827958074309"
"TLX2","T cells CD4 memory activated","0.462760200829241","0.0131506728476453"
"COL4A1","Macrophages M0","0.391899288451013","0.0400394839049549"
"ADHFE1","T cells CD4 memory resting","0.383741621220541","0.0438084235750971"
"ADHFE1","Macrophages M2","-0.38752052545156","0.0424689161031747"
"TFPI","B cells naive","0.386681645551039","0.0420845059007912"
"TFPI","Eosinophils","0.444517761748564","0.0177896731515407"
"ZIC1","Macrophages M2","-0.399014778325123","0.0363322103531558"
