"Gene","Cell","R","pValue"
"SFRP1","B cells naive","-0.617779660968153","0.000355914097118846"
"SFRP1","T cells follicular helper","-0.374336031251532","0.0454356661155362"
"SFRP1","T cells regulatory (Tregs)","-0.501356731316867","0.00559454704426431"
"APC","B cells naive","0.566915308386442","0.00134300047370857"
"APC","T cells CD4 memory resting","0.377339901477832","0.0444032631141975"
"APC","T cells CD4 memory activated","-0.378881120036178","0.0426762596892294"
"APC","T cells follicular helper","0.607051582594739","0.000479859377592322"
"APC","T cells regulatory (Tregs)","0.534402379126242","0.00282367683827132"
"APC","NK cells resting","-0.553988461821893","0.00182091902007296"
"APC","Macrophages M0","-0.459416187743892","0.012171004552971"
"GRIN2B","T cells regulatory (Tregs)","0.535882034998304","0.0027341129656739"
"GRIN2B","Macrophages M0","-0.448084742898734","0.0147817325639533"
"TAC1","Monocytes","-0.441703691214341","0.0164460984543502"
"TIMP3,SYN3","Macrophages M0","-0.4096563647282","0.027320535985693"
"MGMT","B cells naive","-0.383704873359117","0.0398955342890979"
"HSPB2,CRYAB,HSPB2-C11orf52","B cells memory","-0.459565153073361","0.0121394368228282"
"CDH1","Macrophages M1","0.461879545318926","0.0116577045143412"
"CDH1","Mast cells resting","0.389803582600059","0.036589361388912"
"MSH2","Dendritic cells activated","0.404445677324474","0.0295445565437985"
"PRDM2","T cells CD4 memory activated","0.385972477897818","0.0386394183930272"
"GADD45G","Dendritic cells resting","-0.477789777002449","0.00875979004960281"
"GADD45G","Neutrophils","0.580319693464872","0.00096644914055026"
"ENG","Neutrophils","-0.468282884317295","0.0104074338500882"
"DENND2D","Macrophages M0","0.448331078656238","0.0147203974671087"
"SOX17","T cells follicular helper","0.371349307597929","0.047324854537936"
"SOX17","NK cells resting","-0.402196655880014","0.0305487700018616"
"RUNX3","B cells naive","0.381235730029907","0.0413002167412104"
"RASSF2","T cells CD4 memory resting","0.403940886699507","0.0306393955191506"
"RASSF2","Macrophages M2","-0.37192118226601","0.0477405728232293"
"RASSF2","Dendritic cells resting","-0.441829809575423","0.0164117613393542"
"ABCB1","B cells naive","0.369383842049703","0.0486016728002044"
"ABCB1","T cells CD4 memory resting","0.477832512315271","0.00944402475296867"
"ABCB1","T cells regulatory (Tregs)","0.381011387055858","0.0414297765263215"
"ABCB1","NK cells resting","-0.460022105762634","0.0120430288299399"
"ABCB1","Macrophages M0","-0.385515460492864","0.0388899947092723"
"CHFR","NK cells activated","0.468628129774032","0.0103433519828956"
"NKD2","Macrophages M0","0.399063927155552","0.031993448420102"
"SEPT9","B cells naive","-0.410371621314576","0.0270261760687876"
"SEPT9","T cells follicular helper","-0.604064858941136","0.00052050251640601"
"SEPT9","Dendritic cells resting","-0.523808476576895","0.00354185341395026"
