"Gene","Cell","R","pValue"
"SOCS3","T cells follicular helper","-0.729731932378202","0.000884090691497347"
"SOCS3","Macrophages M0","-0.497301661753969","0.0422478074651944"
"SOCS3","Macrophages M2","0.659313725490196","0.00501821171305013"
"DUSP4","T cells CD4 memory activated","0.500737763323408","0.0406244638845485"
"DUSP4","Mast cells resting","0.498928308317144","0.041473311586743"
"BAX","B cells naive","0.508024451653499","0.0373388517049289"
"HOXA9","Macrophages M1","0.634803921568628","0.00747131125052482"
"GATA6","T cells CD8","-0.62632451102515","0.00714477657204302"
"GATA6","T cells CD4 memory resting","0.490496720028744","0.0456070628476874"
"GATA6","Macrophages M0","-0.531123185349327","0.028247406101177"
"GATA6","Macrophages M2","0.57843137254902","0.0168033812241381"
"ABCB1","B cells naive","-0.496926830136796","0.0424278175794662"
"ABCB1","T cells CD8","-0.497301661753969","0.0422478074651944"
"ABCB1","Mast cells resting","0.634275881318072","0.00624505490256919"
"ABCB1","Mast cells activated","-0.554301165101683","0.0209434887885659"
"AREG","NK cells resting","-0.618808616892848","0.00808805865353277"
"AREG","NK cells activated","0.487540510563703","0.0471275349821924"
"IDH1","Monocytes","0.543225117431834","0.0242231140238344"
"IDH1","Macrophages M0","-0.521101993172925","0.031954028676763"
"PLK2","T cells CD4 memory activated","0.490386595089332","0.0456630316873874"
"PLK2","Mast cells resting","0.506889930258375","0.0378366402872765"
"PLK2","Mast cells activated","-0.524116448190205","0.0308019637974625"
"PLK2","Eosinophils","-0.720317108114811","0.00110880810374205"
"ZMIZ1","T cells CD4 memory resting","0.533415183031259","0.0274482629834115"
"ZMIZ1","Mast cells activated","-0.518628317842664","0.0329238581672326"
