"Gene","Cell","R","pValue"
"RASSF1","Plasma cells","-0.351555421322863","0.0213086937529604"
"RASSF1","T cells CD4 memory resting","0.317093458674623","0.0382791537247251"
"DAPK1","T cells CD4 memory resting","0.306594175502691","0.0455351886023036"
"DAPK1","NK cells resting","0.360574840522728","0.0175350632597786"
"MGMT","Monocytes","0.40059529885651","0.00776836474124112"
"MGMT","Macrophages M0","-0.32407127755965","0.0344981769148355"
"SOCS1,RMI2","T cells CD4 memory activated","0.334044721410048","0.0285789621440875"
"SOCS1,RMI2","NK cells activated","-0.305974738885028","0.0459959286183263"
"SOCS1,RMI2","Mast cells resting","-0.308827642742812","0.0439049170938883"
"CDH1","T cells CD8","0.546834296459497","0.000148158402205941"
"CDH1","T cells CD4 memory resting","-0.322683005111479","0.0348203181805842"
"CDH1","T cells follicular helper","0.455352181745698","0.00215350531087069"
"CDH1","T cells regulatory (Tregs)","0.5317141460844","0.000243273036200251"
"CDH1","T cells gamma delta","0.369708712090247","0.0146852229056955"
"CDH1","Macrophages M0","-0.527182120205376","0.000343629020114275"
"CDH1","Macrophages M1","0.496601727458393","0.000706198068098154"
"CDH1","Dendritic cells activated","-0.320321996699153","0.0362485959187285"
"TIMP3,SYN3","T cells CD8","0.404575829940622","0.00712537166866813"
"TIMP3,SYN3","T cells CD4 memory activated","0.418541955663181","0.00521910934812241"
"TIMP3,SYN3","Macrophages M0","-0.335548172757475","0.0283406386335293"
"TIMP3,SYN3","Macrophages M1","0.352816799070196","0.0203095187995079"
"COL1A2","Macrophages M1","0.304334696115773","0.0472340758997134"
"HOXA9","Neutrophils","-0.30828384093804","0.0442974162846858"
"CSPG4","T cells CD8","0.311322535805372","0.0421402547969755"
"CSPG4","Macrophages M0","-0.334189066747206","0.0290180448099962"
"SST","Dendritic cells activated","-0.349780457189394","0.0214914467239809"
"NDN","B cells naive","0.311441331995835","0.0420576918792852"
"NDN","Dendritic cells activated","-0.400557540402837","0.00777469600895881"
"ZIC4","T cells follicular helper","-0.343128725640509","0.0242832078498729"
"ZIC4","NK cells resting","0.378814034790415","0.0122455236932812"
"ZIC4","NK cells activated","-0.303447327515817","0.0479151608099976"
"GAL","T cells CD4 memory resting","-0.350253065239216","0.0213037780950332"
"GAL","NK cells resting","-0.46595685184714","0.00163807778028749"
"GAL","NK cells activated","0.335671822473249","0.0277662837249312"
"PITX2","Neutrophils","-0.354222891210872","0.0197809624121396"
"PITX1","B cells memory","-0.353141838142634","0.0201862929547651"
"PITX1","T cells CD8","-0.422093857664815","0.00481178408092645"
"PITX1","T cells follicular helper","-0.429670713794748","0.00403432173291681"
"PITX1","T cells regulatory (Tregs)","-0.404317895476317","0.00716559680339967"
"PITX1","Macrophages M0","0.489882210812443","0.000984914187121018"
"PITX1","Macrophages M1","-0.356290594608987","0.0190247376812489"
"FAM135B","B cells memory","0.330334238943925","0.0305061728024372"
"FAM135B","T cells CD8","0.374296825124237","0.0134087799339867"
"FAM135B","T cells follicular helper","0.353690039383652","0.0199798867941228"
"FAM135B","T cells regulatory (Tregs)","0.30150958225942","0.0494300754311245"
"FAM135B","Macrophages M0","-0.382965871337964","0.0117133963342137"
"FAM135B","Dendritic cells activated","-0.348307534164882","0.0220852430524066"
"TERT","T cells follicular helper","0.337354194385266","0.0269462650080911"
"TERT","T cells regulatory (Tregs)","0.327711103041902","0.0319324650421457"
"TERT","Macrophages M0","-0.395197825430384","0.00914448539403047"
"TERT","Macrophages M1","0.381060267146449","0.0116998745627165"
"TERT","Dendritic cells resting","0.337638818550635","0.0268095449310512"
"TERT","Dendritic cells activated","-0.453117635698584","0.00227878997464598"
"TERT","Mast cells resting","0.381618379050042","0.0115675659634539"
"TERT","Mast cells activated","-0.341589754026414","0.0249705025210543"
"KL","B cells naive","-0.307193715193164","0.0450928207030201"
