"Gene","Cell","R","pValue"
"RASSF1","T cells gamma delta","-0.894427190999916","0.0405193263538342"
"SLC16A3","Plasma cells","-1","0.0166666666666667"
"SLC16A3","Macrophages M2","1","0.0166666666666667"
"WT1","NK cells resting","0.894427190999916","0.040519326353834"
"WT1","Dendritic cells activated","0.894427190999916","0.040519326353834"
"FBN2","NK cells resting","0.894427190999916","0.040519326353834"
"FBN2","Dendritic cells activated","0.894427190999916","0.040519326353834"
"GATA5","Macrophages M1","1","0.0166666666666667"
"PCDH8","Macrophages M1","1","0.0166666666666667"
"ADAMTS18","NK cells resting","0.894427190999916","0.040519326353834"
"ADAMTS18","Dendritic cells activated","0.894427190999916","0.040519326353834"
"SLC13A5","NK cells resting","0.894427190999916","0.040519326353834"
"SLC13A5","Dendritic cells activated","0.894427190999916","0.040519326353834"
"NKX6-2","Neutrophils","-0.894427190999916","0.0405193263538342"
"GRM6","Macrophages M1","1","0.0166666666666667"
"ZNF540","T cells gamma delta","0.894427190999916","0.040519326353834"
"WNT3A","Macrophages M1","1","0.0166666666666667"
"KHDRBS2","Plasma cells","1","0.0166666666666667"
"KHDRBS2","Macrophages M2","-1","0.0166666666666667"
"PRCC","T cells gamma delta","-0.894427190999916","0.0405193263538342"
"HOXD3","NK cells resting","-0.894427190999916","0.0405193263538342"
"HOXD3","Dendritic cells activated","-0.894427190999916","0.0405193263538342"
"ADAMTS19","T cells gamma delta","0.894427190999916","0.040519326353834"
"BMP7","Dendritic cells resting","-0.894427190999916","0.0405193263538342"
"SFRP1","B cells naive","1","0.0166666666666667"
