"Gene","Cell","R","pValue"
"DKK1","T cells regulatory (Tregs)","0.293256402797905","0.0408544323820768"
"DKK1","NK cells activated","-0.284052883438962","0.0479295762951316"
"CDKN2B,RP11-145E5.5,CDKN2B-AS1","Monocytes","-0.359081632653061","0.0116775666861133"
"CDKN2B,RP11-145E5.5,CDKN2B-AS1","Eosinophils","0.367542752460428","0.00937645571041601"
"SFRP2","Macrophages M2","0.306662893012228","0.0321004031692092"
"GLIPR1","Macrophages M2","-0.293378595747453","0.0407666032027135"
"GLIPR1","Dendritic cells activated","0.319713630107855","0.0251327774872372"
"WIF1","T cells follicular helper","0.320926516115604","0.0245551645964936"
"ITIH5","T cells regulatory (Tregs)","0.303420342333039","0.0340602365248153"
"ITIH5","Monocytes","-0.347551020408163","0.0148289041883774"
"WT1","B cells naive","-0.382101584348424","0.00674229749478379"
"WT1","T cells CD8","-0.288780185155801","0.044180342039171"
"WT1","NK cells resting","-0.392386980306336","0.00529361180380615"
"WT1","Macrophages M0","-0.284149995535864","0.0478500343994209"
"WT1","Dendritic cells resting","0.321130952380952","0.0244589104353789"
"HHEX","T cells CD8","0.418761924546522","0.0027478803044079"
"DCC","T cells CD4 memory activated","0.281805722345022","0.0498003932911832"
"DCC","Mast cells resting","-0.287857142857143","0.0452632720709992"
"NR4A3","Mast cells resting","0.299387755102041","0.0370433658845709"
"NR4A3","Mast cells activated","0.338921444974757","0.0172103553830415"
"NR4A3","Eosinophils","0.311048747048918","0.0295991659069354"
"SOX30","T cells CD8","-0.374004061454434","0.00811428850655785"
"DOK6","T cells CD4 memory activated","-0.31365169217245","0.0281929558934624"
"TAL1","Monocytes","-0.301224489795918","0.0358562292983792"
"TAL1","Neutrophils","-0.33354758828623","0.0191772194501302"
"BCOR","Plasma cells","-0.318230074943988","0.025854721928128"
"ITPKA","Eosinophils","0.307017106192993","0.0318920969579649"
"FZD8","T cells gamma delta","0.336336722919591","0.0181338881654584"
"FZD8","Monocytes","-0.307755102040816","0.0318884159363175"
"FZD5","B cells naive","0.373734023948752","0.00816392946581158"
"FZD5","Plasma cells","0.463639341195967","0.000793176640713295"
"FZD5","NK cells resting","0.355546486186547","0.0121729639335939"
"FZD5","Monocytes","-0.349795918367347","0.0141637302336709"
"FZD5","Macrophages M1","-0.314043033507531","0.0279864357308128"
"ROBO3","Plasma cells","0.394521265024748","0.00502968770779691"
"ROBO3","Monocytes","-0.296530612244898","0.0389547366326887"
"DNMT3A","B cells naive","0.478634659203173","0.000503643959307414"
"DNMT3A","Plasma cells","0.314643517989218","0.0276719999961956"
"DNMT3A","NK cells resting","0.343402389786949","0.0157038076371864"
"DNMT3A","NK cells activated","-0.295803447164129","0.0390554621461406"
"DNMT3A","Monocytes","-0.43734693877551","0.00184417038880431"
"DNMT3A","Dendritic cells activated","0.30819053072651","0.0312100212621567"
