"Gene","Cell","R","pValue"
"TP53","B cells naive","-0.440149126456176","0.0035349740895563"
"TP53","Plasma cells","-0.43683656105664","0.0041313816367447"
"TP53","T cells CD8","0.490154768657321","0.00112950998520713"
"TP53","T cells CD4 memory resting","-0.310596168297727","0.0452884856836289"
"TP53","Macrophages M1","0.436188315371526","0.00419222590234693"
"TP53","Neutrophils","-0.365838636552322","0.0171906820974341"
"RASSF1","T cells regulatory (Tregs)","0.360084335673757","0.0191617508011072"
"RASSF1","Dendritic cells activated","-0.360751251621869","0.0189239937017474"
"MLH1","T cells gamma delta","-0.324684209818497","0.03591366673193"
"MLH1","Dendritic cells activated","-0.345333791168401","0.0250983961595497"
"FHIT","B cells naive","0.381473382108124","0.0126781646090675"
"FHIT","Macrophages M1","-0.374929098128191","0.0149294877896549"
"SOCS3","T cells follicular helper","0.339704395588456","0.027735212634048"
"SOCS3","T cells regulatory (Tregs)","0.424691993380192","0.00505797695014813"
"SPARC","Neutrophils","-0.305969558739267","0.0487681523454018"
"PRSS3","NK cells resting","-0.394459281529305","0.00973786013321832"
"PRSS3","Mast cells resting","-0.348810880103991","0.0235765431603876"
"MSH2","Dendritic cells resting","0.306430809794548","0.0484118421019202"
"MSH2","Mast cells resting","0.41906090350955","0.00573999612303895"
"MSH2","Mast cells activated","-0.319675555720293","0.0390450269420998"
"RUNX3","Macrophages M0","0.349161332144883","0.0239602751486136"
"RUNX3","Mast cells resting","-0.310677476195187","0.0452291839703748"
"CDH1","T cells CD4 memory activated","0.366036843438891","0.0171259576653293"
"CDH1","Mast cells activated","-0.312341144412387","0.0440295512285334"
"VSNL1","NK cells activated","-0.326353462237907","0.0349170139760916"
"DLEC1","B cells naive","0.368182191399449","0.0164384522033336"
"LZTS1","Plasma cells","-0.378332387975043","0.0139890828142522"
"LZTS1","Macrophages M0","0.374929098128191","0.0149294877896549"
"TGFBI","NK cells resting","-0.420964784289887","0.0055009848503246"
"TGFBI","Dendritic cells activated","-0.365081998940259","0.0174396627072986"
"CYGB,PRCD","NK cells activated","0.335879547140342","0.0296547167188472"
"TCF21","Plasma cells","-0.308645976825217","0.0471770699202918"
"TCF21","NK cells resting","-0.325916389040155","0.0351757537626045"
"CADM1","T cells CD4 memory activated","-0.334038060142924","0.0306173166270961"
"SHOX2","T cells CD4 memory resting","-0.340273550870677","0.0274585926159257"
"GRIN2B","NK cells activated","-0.361395845986152","0.0186965569070374"
"SULF2","Dendritic cells activated","-0.333900618247852","0.0306901845710698"
"PITX2","T cells CD4 memory resting","-0.327426903071975","0.0342881825280412"
"DACT2","T cells CD4 memory activated","-0.323967377075158","0.036348764137008"
"DKK3","Dendritic cells activated","-0.365601688618465","0.0172683280901574"
"MYF6","B cells naive","0.362022859119819","0.0184775342032272"
"MYF6","T cells regulatory (Tregs)","-0.361786670443939","0.0185597826764084"
"SEPT9","Neutrophils","0.322739608546845","0.0371040176232748"
"HOXA9","B cells naive","0.316638305480442","0.0410501338858318"
"F2RL3","Plasma cells","-0.321124706263674","0.038611026606599"
"F2RL3","Macrophages M0","0.33862733976177","0.0287932027562184"
"PTPRH","Plasma cells","-0.416578883396807","0.00644544024378028"
"MGMT","B cells naive","0.417456849636487","0.00594830578362593"
"MGMT","T cells regulatory (Tregs)","0.309257483249748","0.0462739472813281"
"PCDH10","T cells CD4 memory resting","0.316612952709777","0.0410672175203947"
"PCDH10","T cells follicular helper","-0.340761398255438","0.0272233151476676"
"DCLK1","B cells naive","0.319231708545549","0.0393329491344288"
"PAX6","T cells CD4 memory resting","-0.34198101671734","0.026642432393305"
"TMPRSS4","T cells CD4 memory resting","-0.349136111693832","0.0234382219770887"
"ITPKA","B cells naive","0.316314130097303","0.0412690121223926"
"ITPKA","NK cells activated","0.369220844298867","0.0161140701434839"
"CDH13","NK cells resting","-0.455151818105288","0.00245689154216578"
"OGG1","T cells CD4 memory activated","0.310485656194116","0.0453691884571428"
"OGG1","Mast cells activated","-0.315274908935549","0.0419770952699675"
"AHRR","T cells CD4 memory activated","-0.353204844046092","0.0217642733041937"
"AHRR","Mast cells activated","0.391762341146566","0.0102950029828121"
"MST1","T cells CD4 memory resting","-0.398652621247056","0.00892295004726193"
"TMEM88","Macrophages M0","0.321286767684953","0.0385088476295198"
"PCDH17","Mast cells activated","-0.374788417833984","0.0144660269229099"
"EFEMP1","NK cells resting","0.413789727810112","0.00644929174664244"
"FBP1","NK cells resting","-0.386102451041096","0.0115534691198135"
"C15orf48","B cells naive","0.3352783900109","0.0299661685656986"
"C15orf48","B cells memory","-0.37746116538748","0.0137271067047978"
"C15orf48","T cells CD4 memory activated","-0.37026003311247","0.0157949522228279"
"C15orf48","NK cells activated","0.356122477558018","0.0206265172301917"
"STXBP6","B cells naive","0.440797477222453","0.00348099030890673"
"CCND2","Neutrophils","-0.333640140921771","0.0308286754649713"
"ADAMTS18","T cells regulatory (Tregs)","0.321579144443447","0.0378296349183632"
"IRF8","Plasma cells","-0.30945628393161","0.0465773857005612"
"IRF8","T cells CD8","0.314966372255085","0.0426626379126296"
"IRF8","NK cells resting","-0.333175857949105","0.0310768054575887"
"IRF8","Eosinophils","0.332184906224794","0.031611922995606"
"SPOP","Macrophages M0","-0.334575804229803","0.0308569784846718"
"SPOP","Dendritic cells resting","0.379370678828886","0.013219044973715"
"SPOP","Mast cells resting","0.360519217338251","0.0190064314608205"
"HIF1A","T cells CD4 memory activated","-0.308211630985266","0.0470558641437447"
"ZAR1","Plasma cells","0.423061340247954","0.00560544915645763"
"XXYLT1","Mast cells resting","0.384586354986452","0.0119120563496598"
