"Gene","Cell","R","pValue"
"MUC2","T cells gamma delta","0.354659627263093","0.0464024950285553"
"MUC2","Dendritic cells resting","0.354094615368543","0.0467766052937835"
"CCND2","T cells CD4 memory activated","0.382115741288933","0.0309101546721388"
"CCND2","Macrophages M0","-0.363852993921151","0.0406441616806234"
"SFRP1","Mast cells activated","-0.351472899623585","0.0485441385496245"
"NPTX2","T cells gamma delta","-0.387592306937523","0.0283936142214407"
"NPTX2","Dendritic cells activated","-0.422811182117563","0.0159125773364667"
"NPTX2","Neutrophils","-0.363747455382207","0.0407068393878221"
"MUC17","B cells naive","0.460410557184751","0.00860032810051434"
"MUC17","T cells gamma delta","0.441804564247739","0.0113554504878954"
"MUC17","NK cells activated","-0.409898167420515","0.0198107323087511"
"MUC17","Macrophages M1","-0.395161290322581","0.0259556137310959"
"MUC17","Dendritic cells activated","0.410280449186737","0.0196849189893924"
"BNC1,RP11-382A20.4","B cells naive","-0.524560117302053","0.00236264893551399"
"BNC1,RP11-382A20.4","Plasma cells","-0.435333149566605","0.0127653819534462"
"BNC1,RP11-382A20.4","T cells CD8","-0.39127248688686","0.0267985532523003"
"BNC1,RP11-382A20.4","T cells CD4 memory activated","-0.495257225808853","0.0039513793510035"
"BNC1,RP11-382A20.4","T cells gamma delta","-0.415965077118571","0.017890803622872"
"BNC1,RP11-382A20.4","Macrophages M0","0.55338649302164","0.00101883386434158"
"BNC1,RP11-382A20.4","Dendritic cells activated","-0.545895316873584","0.00123013898628123"
"MUC4","B cells naive","-0.441715542521994","0.0120382023438009"
"MUC4","T cells CD8","-0.490282394533956","0.00439046903356935"
"MUC4","T cells follicular helper","-0.436853201857647","0.0124216596526619"
"MUC4","Dendritic cells activated","-0.409269906208445","0.020018946534791"
"HYAL2","Neutrophils","-0.387352343444244","0.0285002561926275"
"TERT","Plasma cells","0.377912468650319","0.0329623558433914"
"TERT","T cells CD4 memory activated","0.438590763172819","0.0120383088326966"
"TERT","Macrophages M0","-0.526074605820505","0.00198437777441789"
"TERT","Dendritic cells activated","0.425034376669807","0.0153108302327903"
"TERT","Neutrophils","0.381547862773252","0.0311811764095962"
"MDFI","B cells naive","-0.44941348973607","0.0105028008095242"
"MDFI","NK cells activated","0.438517607681387","0.0120542458196398"
"MDFI","Dendritic cells activated","-0.452116928488045","0.00938035568434234"
"CDO1","B cells naive","-0.430351906158358","0.0146503652775326"
"CDO1","T cells CD4 memory activated","-0.366800481117032","0.0389248104738417"
"CDO1","T cells gamma delta","-0.497030134778706","0.0038043159265128"
"CDO1","NK cells activated","0.39201101725747","0.0264874763867112"
"CDO1","Macrophages M0","0.498762718619371","0.00366517875789928"
"CDO1","Dendritic cells activated","-0.466466638779797","0.00712100817027561"
"SST","Macrophages M0","0.391164881122285","0.0268441266947175"
"CCNT1","NK cells activated","-0.367533864402777","0.0385062454782364"
"CCNT1","Macrophages M0","-0.363119788895617","0.0410812081464418"
"REG1A","B cells naive","0.446114369501466","0.011139085904086"
"REG1A","T cells CD8","0.352401930551333","0.0479118093304523"
"REG1A","T cells CD4 naive","0.392609511778565","0.0262375603211674"
"REG1A","T cells follicular helper","0.390817102110316","0.0269918531753551"
"REG1A","Dendritic cells activated","0.633206230198053","0.000100399521622262"
"HMOX2","B cells naive","0.55425219941349","0.00119607335816076"
"HMOX2","Plasma cells","0.41130085180292","0.0193523303961764"
"HMOX2","T cells CD4 naive","0.418812593766011","0.0170445117571129"
"HMOX2","T cells CD4 memory resting","-0.577712609970674","0.000668940289559678"
"HMOX2","T cells CD4 memory activated","0.381732859784636","0.0310926744129104"
"HMOX2","Macrophages M1","-0.519428152492669","0.0026425333399057"
"HMOX2","Mast cells resting","-0.353880170886633","0.0469192237664523"
