"Gene","Cell","R","pValue"
"GSTP1","T cells CD4 memory resting","-0.885714285714286","0.0333333333333333"
"GSTP1","T cells follicular helper","0.942857142857143","0.0166666666666667"
"CD44","Mast cells resting","0.885714285714286","0.0333333333333333"
"TIMP2","Plasma cells","-0.811679449913428","0.0498575851013405"
"RASSF1","T cells gamma delta","0.845154254728517","0.0341094231674096"
"APC","T cells CD8","0.885714285714286","0.0333333333333333"
"TGFBI","B cells naive","-0.942857142857143","0.0166666666666667"
"TGFBI","Dendritic cells activated","-0.94112394811432","0.00509754056486142"
"HOXD3","Macrophages M0","0.942857142857143","0.0166666666666667"
"PITX2","Dendritic cells resting","-0.942857142857143","0.0166666666666667"
"FLVCR1","Macrophages M2","0.885714285714286","0.0333333333333333"
"IGFBP3","Macrophages M2","0.885714285714286","0.0333333333333333"
"IGFBP7","Macrophages M2","0.942857142857143","0.0166666666666667"
"SFRP2","Plasma cells","0.84066800169605","0.0360575728451593"
"RARB","T cells CD8","0.942857142857143","0.0166666666666667"
"RASSF2","Dendritic cells activated","0.94112394811432","0.00509754056486146"
"CDH1","T cells regulatory (Tregs)","0.942857142857143","0.0166666666666667"
"PCDH10","T cells gamma delta","0.845154254728517","0.0341094231674096"
"PCDH10","Macrophages M2","1","0.00277777777777778"
"PCDH17","B cells memory","0.819688599970537","0.0458371412324532"
"DPYS","B cells memory","-0.94112394811432","0.00509754056486142"
"EPHA5","T cells gamma delta","0.845154254728517","0.0341094231674096"
"EPHA5","Macrophages M2","1","0.00277777777777778"
"DLEC1","Macrophages M2","0.885714285714286","0.0333333333333333"
"IL6","Monocytes","-0.869656553478673","0.0243768916856908"
"OGG1","Monocytes","-0.869656553478673","0.0243768916856908"
"OGG1","Dendritic cells activated","0.880406274042429","0.0205987347749204"
"SPARC","T cells gamma delta","0.845154254728517","0.0341094231674096"
"HSPB1","Macrophages M2","-0.885714285714286","0.0333333333333333"
"CD274","Monocytes","0.84066800169605","0.0360575728451593"
"SEPT9","Dendritic cells activated","0.880406274042429","0.0205987347749204"
"SOCS3","Mast cells resting","-1","0.00277777777777778"
"PAQR3","Dendritic cells resting","-0.942857142857143","0.0166666666666667"
"EDNRB","T cells gamma delta","0.845154254728517","0.0341094231674096"
"EDNRB","Macrophages M2","0.942857142857143","0.0166666666666667"
"AOX1","T cells gamma delta","-0.845154254728517","0.0341094231674097"
"AOX1","Macrophages M2","-0.942857142857143","0.0166666666666667"
"MGMT","Mast cells resting","0.942857142857143","0.0166666666666667"
"SPOCK2","Dendritic cells activated","-0.94112394811432","0.00509754056486142"
"NSMCE1","T cells gamma delta","-0.845154254728517","0.0341094231674097"
"NSMCE1","Monocytes","0.898645105261295","0.0148886220055804"
"SCTR","T cells CD4 memory resting","-0.885714285714286","0.0333333333333333"
"EN1","Plasma cells","0.898645105261295","0.0148886220055804"
"IKZF1","T cells gamma delta","0.845154254728517","0.0341094231674096"
"IKZF1","Macrophages M2","1","0.00277777777777778"
"BCAT1","Macrophages M2","0.942857142857143","0.0166666666666667"
