"Gene","Cell","R","pValue"
"ESR1","T cells CD4 memory activated","0.464661654135338","0.0405399933070938"
"ZAR1","NK cells activated","-0.450012913779005","0.0464891489645517"
"ZAR1","Macrophages M0","0.544360902255639","0.0144168945507131"
"ZAR1","Macrophages M2","0.476691729323308","0.0351386991720052"
"NT5E","Plasma cells","0.450545349650556","0.046199036971921"
"NT5E","T cells follicular helper","0.502255639097744","0.025553189143731"
"RASSF1","B cells memory","-0.490129105825104","0.0282465446623415"
"RASSF1","NK cells resting","0.53301324085822","0.0155253043427791"
"PTEN","Macrophages M1","-0.673684210526316","0.00150847195699523"
"AGTR1","Macrophages M2","0.530827067669173","0.0174489109842527"
"ANGPT2,MCPH1","T cells CD4 memory resting","-0.457541459447171","0.042514905649435"
"CLDN11","T cells regulatory (Tregs)","-0.565413533834586","0.0105630666813396"
"CLDN11","Macrophages M2","0.452631578947368","0.0465753924254242"
"TNFRSF9","Macrophages M2","0.627067669172932","0.00378742287586468"
"CTLA4","NK cells resting","0.547844913647318","0.0123983532055103"
"CTLA4","Mast cells resting","-0.463332112495396","0.0396407522911619"
