"Gene","Cell","R","pValue"
"CDH1","T cells CD8","0.565508021390374","0.000744597765538274"
"CDH1","Mast cells activated","-0.441256272153857","0.0101545031808742"
"RUNX3","B cells memory","-0.397779192106309","0.0218780632547245"
"RUNX3","Mast cells activated","0.433860915637312","0.0116506039612575"
"TMEFF2","B cells naive","-0.388368983957219","0.0262481408666631"
"TMEFF2","Macrophages M2","0.39605614973262","0.023238091282719"
"PTGS2","NK cells resting","-0.537142386593338","0.00126786181333187"
"PTGS2","NK cells activated","0.602664267974583","0.000206043605888034"
"PTGS2","Macrophages M0","-0.496532131757825","0.00329117609773138"
"PTGS2","Dendritic cells activated","0.385574095972824","0.0266895095298139"
"PTGS2","Mast cells resting","0.482846124553542","0.00442581760047815"
"PTGS2","Mast cells activated","-0.424411293421727","0.0138288931656127"
"PKD1","T cells CD8","0.390708556149733","0.0252996083949757"
"PKD1","T cells CD4 memory activated","0.360635252532105","0.0392295877676497"
"PKD1","T cells gamma delta","0.412862202480398","0.0169455654870022"
"FBLN1","T cells CD4 memory activated","0.364381227770871","0.0370891183197332"
"SLC19A3","T cells CD8","0.49966577540107","0.00343764602844274"
"CHD5","B cells naive","-0.37533422459893","0.03208859743109"
"CHD5","T cells CD4 memory activated","0.467225275235172","0.00611811473685841"
"CHD5","Macrophages M1","0.345588235294118","0.0494768413507742"
"FBP1","T cells CD8","0.47225935828877","0.00600832027089807"
"FBP1","T cells gamma delta","0.344186493652935","0.0498374881787045"
"FBP1","NK cells activated","0.346742970985937","0.0480532644309558"
"FBP1","Macrophages M0","-0.560708617316561","0.000688600598185838"
"FBP1","Mast cells activated","-0.438791153315009","0.0106340138224754"
"RECK","T cells CD4 memory activated","0.357229820496863","0.0412609432639987"
"RECK","T cells gamma delta","0.360345483965279","0.0393992314558572"
"TERT","T cells CD4 memory resting","-0.380681818181818","0.0295748357886212"
"IRX1","B cells naive","-0.364304812834225","0.0378301784593162"
"IRX1","T cells CD4 memory activated","0.47437668250918","0.00528491542455785"
"IRF4","T cells CD4 memory activated","0.48084700337614","0.00461692227797325"
"ZFP82","T cells CD8","0.456550802139037","0.00812524342917594"
"ZFP82","NK cells resting","-0.360484879397086","0.039317549307203"
"C2orf40","T cells CD4 memory activated","0.463479299996406","0.00659772260620103"
"C2orf40","T cells follicular helper","0.414985443771236","0.0163323081715856"
"C2orf40","NK cells resting","0.375422098156634","0.0313243418585261"
"C2orf40","Monocytes","-0.463221612206868","0.00663186393226744"
"GPX1","T cells CD4 memory resting","0.573863636363636","0.000600032417126019"
"GPX1","Dendritic cells resting","0.354846018072194","0.0427326295298314"
"ADAMTS9","Neutrophils","0.419304703511277","0.0151418383900729"
"RASGRF1","B cells naive","0.40942513368984","0.0186888436913323"
"SOX17","NK cells resting","0.479385140723087","0.00476112300485847"
"SOX17","NK cells activated","-0.362611441907396","0.0380882933356865"
"SOX17","Monocytes","-0.407476775334147","0.0185876664946959"
"SOX17","Mast cells activated","0.426876412260575","0.0132301163140007"
"SSTR1","B cells memory","0.360890172056226","0.0390808341237459"
"SSTR1","T cells CD8","0.385360962566845","0.0275108645561222"
