"Gene","Cell","R","pValue"
"RASSF1","Dendritic cells activated","0.593694727913","0.00222479097754663"
"MLH1","B cells naive","0.453043478260869","0.0273579630887702"
"MLH1","T cells CD4 memory activated","-0.433191143967426","0.0344679491945869"
"MLH1","Macrophages M2","-0.512619863422297","0.0104279397505327"
"HAAO","Macrophages M0","0.493913043478261","0.0152084074500602"
"HOXA11","T cells follicular helper","-0.445217391304348","0.0304045117177813"
"HOXA11","Dendritic cells resting","0.51580241680705","0.00988172833508309"
"HAND2","Mast cells activated","-0.443878125422505","0.0297941070287194"
"SOX11","Neutrophils","0.460388988779603","0.0235818474205334"
"APC","NK cells activated","0.589525271524971","0.00243252091219134"
"PTGS2","B cells naive","0.429565217391304","0.0373213248748698"
"PTGS2","T cells CD4 memory activated","-0.517149839911628","0.00965772118643354"
"WT1","T cells CD8","-0.528695652173913","0.00876083750721472"
"WT1","T cells CD4 memory resting","0.569186160186119","0.0036981896227599"
"WT1","Macrophages M0","0.467826086956522","0.0222808092691197"
"WT1","Mast cells resting","-0.504786962283417","0.0118792994141149"
"PTPN6","T cells CD4 memory activated","-0.472490959090244","0.0197286523819335"
"PTPN6","NK cells resting","-0.437800067192581","0.0323856658320084"
"PTPN6","Macrophages M0","0.470434782608696","0.0214706186051299"
"PTPN6","Macrophages M2","-0.414273438011907","0.0441524275536727"
"CHST11","Plasma cells","0.493043478260869","0.0154097233079348"
"NID2","Macrophages M1","-0.48","0.0187037150002415"
"TBX5","Macrophages M1","-0.512173913043478","0.0114574432914138"
"RNF4","T cells gamma delta","-0.42219563043385","0.0398659478488258"
"EXOC6B","Mast cells resting","-0.423846983848317","0.0390152540664821"
"FOXO1","Dendritic cells resting","0.423743192809991","0.0390682963566473"
"ZBTB38","Dendritic cells activated","0.406157649811337","0.0489102972132313"
"LPP","T cells follicular helper","-0.420869565217391","0.0416781847759391"
"LPP","Macrophages M0","0.42","0.0421353175145879"
"LPP","Mast cells resting","-0.520452764561178","0.0091263462707861"
